web-scraper-order,web-scraper-start-url,Links,Links-href,Name,Casts,Movie info,Ratings,Runtime,Movie stars,Director,Writers
1689702243-79,https://www.imdb.com/chart/top/?ref_=nv_mv_250,172. Gran Torino,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_172,Gran Torino,Cast & crew,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",8.1,1h 56m,,DirectorClint Eastwood,WritersNick SchenkDave Johannson
1689702254-80,https://www.imdb.com/chart/top/?ref_=nv_mv_250,171. Warrior,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_171,Warrior,Cast & crew,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",8.1,2h 20m,,DirectorGavin O'Connor,WritersGavin O'ConnorAnthony TambakisCliff Dorfman
1689702266-81,https://www.imdb.com/chart/top/?ref_=nv_mv_250,170. Fargo,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_170,Fargo,Cast & crew,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,8.1,1h 38m,,DirectorsJoel CoenEthan Coen,WritersEthan CoenJoel Coen
1689702277-82,https://www.imdb.com/chart/top/?ref_=nv_mv_250,169. The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_169,The Bridge on the River Kwai,Cast & crew,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",8.1,2h 41m,,DirectorDavid Lean,WritersPierre BoulleCarl ForemanMichael Wilson
1689702287-83,https://www.imdb.com/chart/top/?ref_=nv_mv_250,168. Trainspotting,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_168,Trainspotting,Cast & crew,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",8.1,1h 33m,,DirectorDanny Boyle,WritersIrvine WelshJohn Hodge
1689702305-84,https://www.imdb.com/chart/top/?ref_=nv_mv_250,"167. Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/?ref_=chttp_t_167,"Three Billboards Outside Ebbing, Missouri",Cast & crew,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,8.1,1h 55m,,DirectorMartin McDonagh,WriterMartin McDonagh
1689702316-85,https://www.imdb.com/chart/top/?ref_=nv_mv_250,166. Prisoners,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_166,Prisoners,Cast & crew,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",8.1,2h 33m,,DirectorDenis Villeneuve,WriterAaron Guzikowski
1689702330-86,https://www.imdb.com/chart/top/?ref_=nv_mv_250,165. Inside Out,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_165,Inside Out,Cast & crew,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",8.1,1h 35m,,DirectorsPete DocterRonnie Del Carmen,WritersPete DocterRonnie Del CarmenMeg LeFauve
1689702340-87,https://www.imdb.com/chart/top/?ref_=nv_mv_250,164. The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_164,The Secret in Their Eyes,Cast & crew,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,8.2,2h 9m,,DirectorJuan José Campanella,WritersEduardo SacheriJuan José Campanella
1689702351-88,https://www.imdb.com/chart/top/?ref_=nv_mv_250,"163. Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/?ref_=chttp_t_163,"Lock, Stock and Two Smoking Barrels",Cast & crew,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",8.1,1h 47m,,DirectorGuy Ritchie,WriterGuy Ritchie
1689702379-89,https://www.imdb.com/chart/top/?ref_=nv_mv_250,162. Howl's Moving Castle,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_162,Howl's Moving Castle,Cast & crew,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",8.2,1h 59m,,DirectorHayao Miyazaki,WritersHayao MiyazakiDiana Wynne Jones
1689702389-90,https://www.imdb.com/chart/top/?ref_=nv_mv_250,161. Dial M for Murder,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_161,Dial M for Murder,Cast & crew,A former tennis star arranges the murder of his adulterous wife.,8.2,1h 45m,,DirectorAlfred Hitchcock,WriterFrederick Knott
1689702401-91,https://www.imdb.com/chart/top/?ref_=nv_mv_250,160. Gone with the Wind,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_160,Gone with the Wind,Cast & crew,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,8.2,3h 58m,,DirectorsVictor FlemingGeorge CukorSam Wood,WritersMargaret MitchellSidney HowardOliver H.P. Garrett
1689702411-92,https://www.imdb.com/chart/top/?ref_=nv_mv_250,159. Raging Bull,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_159,Raging Bull,Cast & crew,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",8.1,2h 9m,,DirectorMartin Scorsese,WritersJake LaMottaJoseph CarterPeter Savage
1689702421-93,https://www.imdb.com/chart/top/?ref_=nv_mv_250,158. V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_158,V for Vendetta,Cast & crew,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",8.2,2h 12m,,DirectorJames McTeigue,WritersLilly WachowskiLana WachowskiDavid Lloyd
1689702430-94,https://www.imdb.com/chart/top/?ref_=nv_mv_250,157. Chinatown,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_157,Chinatown,Cast & crew,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",8.2,2h 10m,,DirectorRoman Polanski,WritersRobert TowneRoman Polanski
1689702442-95,https://www.imdb.com/chart/top/?ref_=nv_mv_250,156. The Elephant Man,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_156,The Elephant Man,Cast & crew,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",8.2,2h 4m,,DirectorDavid Lynch,WritersChristopher De VoreEric BergrenDavid Lynch
1689702453-96,https://www.imdb.com/chart/top/?ref_=nv_mv_250,155. Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_155,Spider-Man: No Way Home,Cast & crew,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",8.2,2h 28m,,DirectorJon Watts,WritersChris McKennaErik SommersStan Lee
1689702461-97,https://www.imdb.com/chart/top/?ref_=nv_mv_250,154. Finding Nemo,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_154,Finding Nemo,Cast & crew,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",8.2,1h 40m,,DirectorsAndrew StantonLee Unkrich,WritersAndrew StantonBob PetersonDavid Reynolds
1689702469-98,https://www.imdb.com/chart/top/?ref_=nv_mv_250,153. Rashomon,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_153,Rashomon,Cast & crew,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",8.2,1h 28m,,DirectorAkira Kurosawa,WritersRyûnosuke AkutagawaAkira KurosawaShinobu Hashimoto
1689702478-99,https://www.imdb.com/chart/top/?ref_=nv_mv_250,152. The Thing,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_152,The Thing,Cast & crew,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,8.2,1h 49m,,DirectorJohn Carpenter,WritersBill LancasterJohn W. Campbell Jr.
1689702491-100,https://www.imdb.com/chart/top/?ref_=nv_mv_250,151. The Great Escape,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_151,The Great Escape,Cast & crew,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,8.2,2h 52m,,DirectorJohn Sturges,WritersPaul BrickhillJames ClavellW.R. Burnett
1689702501-101,https://www.imdb.com/chart/top/?ref_=nv_mv_250,150. Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_150,Kill Bill: Vol. 1,Cast & crew,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",8.2,1h 51m,,DirectorQuentin Tarantino,WritersQuentin TarantinoUma Thurman
1689702511-102,https://www.imdb.com/chart/top/?ref_=nv_mv_250,149. Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_149,Monty Python and the Holy Grail,Cast & crew,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",8.2,1h 31m,,DirectorsTerry GilliamTerry Jones,WritersGraham ChapmanJohn CleeseEric Idle
1689702520-103,https://www.imdb.com/chart/top/?ref_=nv_mv_250,148. No Country for Old Men,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_148,No Country for Old Men,Cast & crew,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,8.2,2h 2m,,DirectorsEthan CoenJoel Coen,WritersJoel CoenEthan CoenCormac McCarthy
1689702528-104,https://www.imdb.com/chart/top/?ref_=nv_mv_250,147. Yojimbo,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_147,Yojimbo,Cast & crew,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,8.2,1h 50m,,DirectorAkira Kurosawa,WritersAkira KurosawaRyûzô Kikushima
1689702538-105,https://www.imdb.com/chart/top/?ref_=nv_mv_250,146. The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_146,The Treasure of the Sierra Madre,Cast & crew,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,8.2,2h 6m,,DirectorJohn Huston,WritersJohn HustonB. Traven
1689702546-106,https://www.imdb.com/chart/top/?ref_=nv_mv_250,145. A Beautiful Mind,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_145,A Beautiful Mind,Cast & crew,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",8.2,2h 15m,,DirectorRon Howard,WritersAkiva GoldsmanSylvia Nasar
1689702557-107,https://www.imdb.com/chart/top/?ref_=nv_mv_250,144. Jurassic Park,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_144,Jurassic Park,Cast & crew,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,8.2,2h 7m,,DirectorSteven Spielberg,WritersMichael CrichtonDavid Koepp
1689702567-108,https://www.imdb.com/chart/top/?ref_=nv_mv_250,143. The Sixth Sense,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_143,The Sixth Sense,Cast & crew,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",8.2,1h 47m,,DirectorM. Night Shyamalan,WriterM. Night Shyamalan
1689702575-109,https://www.imdb.com/chart/top/?ref_=nv_mv_250,142. Unforgiven,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_142,Unforgiven,Cast & crew,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",8.2,2h 10m,,DirectorClint Eastwood,WriterDavid Webb Peoples
1689702584-110,https://www.imdb.com/chart/top/?ref_=nv_mv_250,141. Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_141,Shutter Island,Cast & crew,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",8.2,2h 18m,,DirectorMartin Scorsese,WritersLaeta KalogridisDennis Lehane
1689702595-111,https://www.imdb.com/chart/top/?ref_=nv_mv_250,140. Pan's Labyrinth,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_140,Pan's Labyrinth,Cast & crew,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",8.2,1h 58m,,DirectorGuillermo del Toro,WriterGuillermo del Toro
1689702606-112,https://www.imdb.com/chart/top/?ref_=nv_mv_250,139. There Will Be Blood,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_139,There Will Be Blood,Cast & crew,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",8.2,2h 38m,,DirectorPaul Thomas Anderson,WritersPaul Thomas AndersonUpton Sinclair
1689702614-113,https://www.imdb.com/chart/top/?ref_=nv_mv_250,138. Casino,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_138,Casino,Cast & crew,"In Las Vegas, two best friends - a mafia enforcer and a casino executive - compete for a gambling empire and a fast-living, fast-loving socialite.",8.2,2h 58m,,DirectorMartin Scorsese,WritersNicholas PileggiMartin Scorsese
1689702622-114,https://www.imdb.com/chart/top/?ref_=nv_mv_250,137. Ran,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_137,Ran,Cast & crew,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",8.2,2h 42m,,DirectorAkira Kurosawa,WritersAkira KurosawaHideo OguniMasato Ide
1689702630-115,https://www.imdb.com/chart/top/?ref_=nv_mv_250,136. The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_136,The Truman Show,Cast & crew,An insurance salesman discovers his whole life is actually a reality TV show.,8.2,1h 43m,,DirectorPeter Weir,WriterAndrew Niccol
1689702639-116,https://www.imdb.com/chart/top/?ref_=nv_mv_250,135. Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_135,Judgment at Nuremberg,Cast & crew,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",8.3,2h 59m,,DirectorStanley Kramer,WritersAbby MannMontgomery Clift
1689702648-117,https://www.imdb.com/chart/top/?ref_=nv_mv_250,134. All About Eve,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_134,All About Eve,Cast & crew,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,8.2,2h 18m,,DirectorJoseph L. Mankiewicz,WritersJoseph L. MankiewiczMary Orr
1689702657-118,https://www.imdb.com/chart/top/?ref_=nv_mv_250,133. Green Book,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_133,Green Book,Cast & crew,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,8.2,2h 10m,,DirectorPeter Farrelly,WritersNick VallelongaBrian Hayes CurriePeter Farrelly
1689702666-119,https://www.imdb.com/chart/top/?ref_=nv_mv_250,132. The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_132,The Wolf of Wall Street,Cast & crew,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,3h,,DirectorMartin Scorsese,WritersTerence WinterJordan Belfort
1689702674-120,https://www.imdb.com/chart/top/?ref_=nv_mv_250,131. The Father,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_131,The Father,Cast & crew,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",8.2,1h 37m,,DirectorFlorian Zeller,WritersChristopher HamptonFlorian Zeller
1689702684-121,https://www.imdb.com/chart/top/?ref_=nv_mv_250,130. Some Like It Hot,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_130,Some Like It Hot,Cast & crew,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",8.2,2h 1m,,DirectorBilly Wilder,WritersBilly WilderI.A.L. DiamondRobert Thoeren
1689702692-122,https://www.imdb.com/chart/top/?ref_=nv_mv_250,129. The Kid,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_129,The Kid,Cast & crew,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",8.3,1h 8m,,DirectorCharles Chaplin,WriterCharles Chaplin
1689702700-123,https://www.imdb.com/chart/top/?ref_=nv_mv_250,128. Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_128,Batman Begins,Cast & crew,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",8.2,2h 20m,,DirectorChristopher Nolan,WritersBob KaneDavid S. GoyerChristopher Nolan
1689702708-124,https://www.imdb.com/chart/top/?ref_=nv_mv_250,127. For a Few Dollars More,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_127,For a Few Dollars More,Cast & crew,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,8.2,2h 12m,,DirectorSergio Leone,WritersSergio LeoneFulvio MorsellaLuciano Vincenzoni
1689702717-125,https://www.imdb.com/chart/top/?ref_=nv_mv_250,126. Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_126,Top Gun: Maverick,Cast & crew,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",8.3,2h 10m,,DirectorJoseph Kosinski,WritersJim CashJack Epps Jr.Peter Craig
1689702724-126,https://www.imdb.com/chart/top/?ref_=nv_mv_250,125. Downfall,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_125,Downfall,Cast & crew,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",8.2,2h 36m,,DirectorOliver Hirschbiegel,WritersBernd EichingerJoachim FestTraudl Junge
1689702733-127,https://www.imdb.com/chart/top/?ref_=nv_mv_250,124. Dangal,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_124,Dangal,Cast & crew,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,8.3,2h 41m,,DirectorNitesh Tiwari,WritersPiyush GuptaShreyas JainNikhil Mehrotra
1689702753-128,https://www.imdb.com/chart/top/?ref_=nv_mv_250,123. 1917,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_123,1917,Cast & crew,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",8.2,1h 59m,,DirectorSam Mendes,WritersSam MendesKrysty Wilson-Cairns
1689702773-129,https://www.imdb.com/chart/top/?ref_=nv_mv_250,122. Like Stars on Earth,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_122,Like Stars on Earth,Cast & crew,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",8.3,2h 45m,,DirectorsAamir KhanAmole Gupte,WriterAmole Gupte
1689702788-130,https://www.imdb.com/chart/top/?ref_=nv_mv_250,121. Taxi Driver,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_121,Taxi Driver,Cast & crew,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",8.2,1h 54m,,DirectorMartin Scorsese,WriterPaul Schrader
1689702798-131,https://www.imdb.com/chart/top/?ref_=nv_mv_250,120. Bicycle Thieves,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_120,Bicycle Thieves,Cast & crew,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",8.3,1h 29m,,DirectorVittorio De Sica,WritersCesare ZavattiniLuigi BartoliniOreste Biancoli
1689702827-132,https://www.imdb.com/chart/top/?ref_=nv_mv_250,119. Snatch,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_119,Snatch,Cast & crew,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",8.2,1h 42m,,DirectorGuy Ritchie,WriterGuy Ritchie
1689702882-133,https://www.imdb.com/chart/top/?ref_=nv_mv_250,118. L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_118,L.A. Confidential,Cast & crew,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",8.2,2h 18m,,DirectorCurtis Hanson,WritersJames EllroyBrian HelgelandCurtis Hanson
1689702894-134,https://www.imdb.com/chart/top/?ref_=nv_mv_250,117. Die Hard,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_117,Die Hard,Cast & crew,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,8.2,2h 12m,,DirectorJohn McTiernan,WritersRoderick ThorpJeb StuartSteven E. de Souza
1689702904-135,https://www.imdb.com/chart/top/?ref_=nv_mv_250,116. Metropolis,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_116,Metropolis,Cast & crew,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",8.3,2h 33m,,DirectorFritz Lang,WritersThea von HarbouFritz Lang
1689702914-136,https://www.imdb.com/chart/top/?ref_=nv_mv_250,115. Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_115,Indiana Jones and the Last Crusade,Cast & crew,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",8.2,2h 7m,,DirectorSteven Spielberg,WritersJeffrey BoamGeorge LucasMenno Meyjes
1689702923-137,https://www.imdb.com/chart/top/?ref_=nv_mv_250,114. A Separation,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_114,A Separation,Cast & crew,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,8.3,2h 3m,,DirectorAsghar Farhadi,WriterAsghar Farhadi
1689702932-138,https://www.imdb.com/chart/top/?ref_=nv_mv_250,113. The Sting,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_113,The Sting,Cast & crew,Two grifters team up to pull off the ultimate con.,8.3,2h 9m,,DirectorGeorge Roy Hill,WriterDavid S. Ward
1689702942-139,https://www.imdb.com/chart/top/?ref_=nv_mv_250,112. To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_112,To Kill a Mockingbird,Cast & crew,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.",8.3,2h 9m,,DirectorRobert Mulligan,WritersHarper LeeHorton Foote
1689702953-140,https://www.imdb.com/chart/top/?ref_=nv_mv_250,111. Up,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_111,Up,Cast & crew,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",8.3,1h 36m,,DirectorsPete DocterBob Peterson,WritersPete DocterBob PetersonTom McCarthy
1689702961-141,https://www.imdb.com/chart/top/?ref_=nv_mv_250,110. Heat,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_110,Heat,Cast & crew,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,8.3,2h 50m,,DirectorMichael Mann,WriterMichael Mann
1689702968-142,https://www.imdb.com/chart/top/?ref_=nv_mv_250,109. Incendies,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_109,Incendies,Cast & crew,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,8.3,2h 11m,,DirectorDenis Villeneuve,WritersDenis VilleneuveWajdi MouawadValérie Beaugrand-Champagne
1689702977-143,https://www.imdb.com/chart/top/?ref_=nv_mv_250,108. Hamilton,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_108,Hamilton,Cast & crew,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",8.3,2h 40m,,DirectorThomas Kail,WritersLin-Manuel MirandaRon Chernow
1689702985-144,https://www.imdb.com/chart/top/?ref_=nv_mv_250,107. Scarface,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_107,Scarface,Cast & crew,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",8.3,2h 50m,,DirectorBrian De Palma,WritersOliver StoneHoward HawksBen Hecht
1689702994-145,https://www.imdb.com/chart/top/?ref_=nv_mv_250,106. Full Metal Jacket,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_106,Full Metal Jacket,Cast & crew,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,8.3,1h 56m,,DirectorStanley Kubrick,WritersStanley KubrickMichael HerrGustav Hasford
1689703003-146,https://www.imdb.com/chart/top/?ref_=nv_mv_250,105. A Clockwork Orange,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_105,A Clockwork Orange,Cast & crew,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",8.3,2h 16m,,DirectorStanley Kubrick,WritersStanley KubrickAnthony Burgess
1689703013-147,https://www.imdb.com/chart/top/?ref_=nv_mv_250,104. Double Indemnity,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_104,Double Indemnity,Cast & crew,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",8.3,1h 47m,,DirectorBilly Wilder,WritersBilly WilderRaymond ChandlerJames M. Cain
1689703023-148,https://www.imdb.com/chart/top/?ref_=nv_mv_250,103. Amélie,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_103,Amélie,Cast & crew,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",8.3,2h 2m,,DirectorJean-Pierre Jeunet,WritersGuillaume LaurantJean-Pierre Jeunet
1689703034-149,https://www.imdb.com/chart/top/?ref_=nv_mv_250,102. Vertigo,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_102,Vertigo,Cast & crew,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",8.3,2h 8m,,DirectorAlfred Hitchcock,WritersAlec CoppelSamuel A. TaylorPierre Boileau
1689703044-150,https://www.imdb.com/chart/top/?ref_=nv_mv_250,101. The Apartment,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_101,The Apartment,Cast & crew,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",8.3,2h 5m,,DirectorBilly Wilder,WritersBilly WilderI.A.L. Diamond
